
         LEFT = SORTED BY FREQUENCY <*--*> RIGHT = SORTED BY AREA/SERVICE

     <---------------Left--------------> <--------------Right-------------->

     FREQUENCY AREA/SERVICE              AREA/SERVICE              FREQUENCY
       5,948.5 DOE                       Harbour Control             2,836.0
       5,987.0 USAF SAC                  HICOM LANT/CARIB           11,267.0
       6,209.0 Ships CCG Halifax 6,513   Hongkong Coast             17,350.0
       6,215.0 Marine Calling/Distress   Honolulu WX                 8,828.0
       6,224.0 Ship/Ship                 Hurricane Amateur Net      14,283.0
       6,224.0 Southbound 2 Atlantic wx  Hurricane Ctr Miami         9,020.0
       6,227.0 Ship/Ship                 Hurricane Ctr Miami        11,898.0
       6,230.0 Ship/Ship                 Hurricane Ctr Miami        13,354.0
       6,266.0 USCG Cutters              Hurricane Ctr Miami        17,901.0
       6,405.0 USCG WLC Rogers City MI   Hurricane Ctr Miami        21,937.0
       6,501.0 USCG Portsmouth wx        Hurricane Ctr Miami A/G     3,407.0
       6,507.0 WX Sydney                 Hurricane Ctr Miami A/G     5,562.0
       6,513.0 CCG Ship 6,209            Hurricane Ctr Miami A/G     6,673.0
       6,513.0 Drug Enforcement          Hurricane Ctr Miami A/G     8,876.0
       6,518.0 USCG Miami COMSTA         Hurricane Ctr Miami A/G    10,015.0
       6,526.0 Gulf Air                  Hurricane Ctr Miami A/G    13,267.0
       6,532.0 CWP-1                     Hurricane Ctr/Hams         14,325.0
       6,532.0 CWP-2                     Hurricane Gulf Net          3,935.0
       6,535.0 AFI-1                     Hurricane Gulf Net          7,235.0
       6,535.0 SAT-1                     Hurricane IARN/Red Cross   14,275.0
       6,550.0 Dutch CG a/g              Hurricane Natl Net          3,815.0
       6,550.0 Flight Test               Hurricane Puerto Rico Net   7,055.0
       6,553.0 SP-9                      Hurricane Puerto Rico Net   7,073.0
       6,556.0 SEA-1/3                   Hurricane Puerto Rico Net  14,280.0
       6,559.0 AFI-4                     Hurricane Puerto Rico Net  28,450.0
       6,562.0 CWP-1/2                   Hurricane USAF              4,746.0
       6,571.0 EA-1                      Hurricane USAF              6,750.0
       6,574.0 AFI-3                     Hurricane USAF              8,993.0
       6,577.0 E-CAR                     Hurricane USAF             12,246.0
       6,580.0 Domestic AK               Hurricane USAF             13,224.0
       6,586.0 AFI-4 W-CAR               Hurricane USAF             18,091.0
       6,592.0 NCA-2                     Hurricane W Gulf            3,943.0
       6,598.0 EUR-A                     Hurricane Warn              7,507.0
       6,603.0 WX Brazil                 Hurricane Warn              9,380.0
       6,604.0 Domestic AK               IARN II, Red Cross Net     14,265.0
       6,604.0 WX Gander                 Iberia                      5,529.0
       6,604.0 WX New York               INO-1                       3,476.0
       6,617.0 WX Brazzaville            INO-1                       5,634.0
       6,622.0 NAT-D                     INO-1                      17,961.0
       6,625.0 MID                       INO-1 NAT-A/B/C            13,306.0
       6,628.0 NAT-E                     INO-1 NAT-B/C AFI-5         8,879.0
       6,631.0 MID-3                     Intership Safety            2,638.0
       6,634.0 LDOC Portishead           Intership Safety            2,738.0
       6,637.0 LDOC Auckland             Intership Safety            2,782.0
       6,637.0 LDOC Hongkong             Intl Police Assn           21,410.0
       6,637.0 LDOC Jakarta              Intl Red Cross Switzerlnd   6,998.5
       6,637.0 LDOC Singapore            Intl Red Cross Switzerlnd  13,915.0
       6,637.0 WW HOU                    Intl Red Cross Switzerlnd  13,965.0
       6,640.0 WW HON                    Intl Red Cross Switzerlnd  13,973.0
       6,640.0 WW NY                     Intl Red Cross Switzerlnd  13,997.0
       6,640.0 WW San Juan               Intl Red Cross Switzerlnd  20,753.0
       6,640.0 WW SFO                    Intl Red Cross Switzerlnd  20,812.0
       6,643.0 WW Berna                  Intl Red Cross Switzerlnd  20,815.0
       6,646.5 DOE                       Intl Red Cross Switzerlnd  20,939.0
       6,649.0 NW/SW-SAM                 Intl Red Cross Switzerlnd  20,942.0
       6,655.0 NP                        Intl Red Cross Switzerlnd  20,998.0
       6,656.0 SEA-1                     Intl Red Cross Switzerlnd  27,998.0
       6,661.0 NP                        Intl Red Cross Switzerlnd  29,701.0
       6,673.0 AFI-1                     Intl Red Cross ?           20,987.0
       6,673.0 Hurricane Ctr Miami A/G   Jupiter Control            20,192.0
       6,676.0 WX Bangkok                Kinshasa Zaire              8,913.0
       6,676.0 WX Singapore              Lahr Military WX           13,231.0
       6,679.0 Civ Av Pac                Lahr/Edm/Tren/StJ Mil       3,092.0
       6,680.0 USAF SAC                  Lahr/Edm/Tren/StJ Mil       4,704.0
       6,683.0 USAF Mystic               Lahr/Edm/Tren/StJ Mil       6,705.0
